ID,Activities ,Sub-sector_1,Sub-sector_2,Sub-sector_3,Sector_1,Sector_2,Sector_3
ID_1,Institutional representation,international_development,,,international,,
ID_2,Enhanced EUNICE support,project_management,project_development,,project,project,
ID_3,Indicator collection,local_project_support_unit_management,,,management,,
ID_4,Financial project control,project_management,execution_finance,,project,finance,
ID_5,Project Status' meeting management,project_management,,,project,,
ID_6,UPHF Board of Directors EUNICE representation,project_management,,,project,,
ID_7,Advisory on Erasmus+ Project Steering at UPHF,project_development,,,project,,
ID_8,Monitoring Erasmus+ Charter compliance,project_management,local_project_support_unit_management,,project,management,
ID_9,Budget establishment and monitoring,project_management,execution_finance,,project,finance,
"ID_10,""Reports, summaries and statistics preparation"",local_project_support_unit_management,project_management,,management,project,"
ID_11,Staff supervision,human_resources_management,,,management,,
ID_12,Continuous improvement of UPHF international branding,international_marketing,international_development,,international,international,
ID_13,Liaison between Mobility Unit and Projects & Partnerships,human_resources_management,,,management,,
ID_14,Responding to partner/internal requests on agreements,frontdesk_international,,,international,,
"ID_15,""Staff management, time tracking"",human_resources_management,,,management,,"
ID_16,University prospecting in English-speaking countries - BRIDGE,international_development,,,international,,
ID_17,Coordination of welcoming foreign delegations,international_marketing,,,international,,
ID_18,Contribution to intra-service knowledge sharing,human_resources_management,international_development,,management,international,
ID_19,Support to teachers/mission officers by geographical zone,international_development,human_resources_management,,international,management,
ID_20,Evaluation of ongoing partnerships,local_project_support_unit_management,international_development,,management,international,
ID_21,Strategic monitoring of funding opportunities,international_development,,,international,,
ID_22,Identification of information networks,international_development,international_marketing,,international,international,
ID_23,Proofreading and translation of documents (English/French),international_marketing,,,international,,
ID_24,Coordination of project component: IUMEME,project_management,,,project,,
ID_25,Support to PRI in project management organization,human_resources_management,,,management,,
ID_26,Support to mission officers for coordination and scope development,international_development,human_resources_management,,international,management,
ID_27,Monitoring and participation in Erasmus+ project development,international_development,project_development,,international,project,
ID_28,Contribution to communication tools and EURAXESS label promotion,international_marketing,entrant_mobility,,international,mobility,
ID_29,Development and implementation of international cooperation policy,local_project_support_unit_management,international_development,,management,international,
ID_30,Strategic advice to management on international cooperation,international_development,,,international,,
"ID_31,""Representation of the institution, network building"",international_development,,,international,,"
ID_32,Promotion of scientific/educational activities internationally,international_marketing,,,international,,
ID_33,Management of international cooperation programs,international_development,project_development,,international,project,
ID_34,Negotiation and follow-up of cooperation agreement,non-erasmus+_contractualisation,erasmus+_contractualisation,project_development,contractualisation,contractualisation,project
ID_35,Promotion and strategic monitoring of international schemes,international_development,project_development,,international,project,
ID_36,Promotion and dissemination of international cooperation info,international_marketing,international_development,,international,international,
ID_37,Strategic planning on joint-degree/international programs,international_development,,,international,,
"ID_38,""Service activity planning, organization, and staff supervision"",human_resources_management,,,management,,"
ID_39,Implementation of project management methodology at UPHF,project_management,human_resources_management,,project,management,
ID_40,Participation in welcoming foreign delegations,international_marketing,,,international,,
ID_41,Local project team coordination,project_management,project_development,,project,project,
ID_42,Liaison with project coordinator,project_management,,,project,,
ID_43,Drafting and updating DAF/AC Procedure,budgetisation_finance,execution_finance,,finance,finance,
ID_44,Representation at UPHF Project Management Team meeting,project_management,,,project,,
ID_45,Representation at UPHF Student Board EUNICE,project_management,,,project,,
ID_46,Participation in AISBL activities,international_development,,,international,,
ID_47,Server structure cleanup/archive,material_management,,,management,,
ID_48,Strategy definition for Erasmus+ participation,project_development,international_development,,project,international,
ID_49,Transition coordination to new Erasmus+ program,project_management,local_project_support_unit_management,,project,management,
ID_50,Project funding requests for mobility,project_development,budgetisation_finance,,project,finance,
ID_51,EUNICE mobility focal point,student_mobility,personnel_mobility,international_development,mobility,mobility,international
ID_52,Planning/admin/finance of international mobility,project_management,budgetisation_finance,human_resources_management,project,finance,management
ID_53,Development of staff mobility (incoming & outgoing),personnel_mobility,international_development,,mobility,international,
ID_54,Promotion of student mobility (incoming & outgoing),international_marketing,student_mobility,,international,mobility,
ID_55,Liaison with Communication Department,international_marketing,,,international,,
"ID_56,""Website/ENT update, DRUPAL referent for PRI"",international_marketing,,,international,,"
ID_57,Participation in project outputs,project_management,,,project,,
ID_58,Update and development of Erasmus+ mobility agreements,erasmus+_contractualisation,,,contractualisation,,
ID_59,Maintaining contact with Erasmus+ partners and faculties,international_development,,,international,,
ID_60,Entry and updating of MoveOn management software,material_management,,,management,,
"ID_61,""Erasmus+ """"Organizational Support"""" Budget Management"",execution_finance,budgetisation_finance,,finance,finance,"
ID_62,Data entry on Mobility Tool and Beneficiary Module,local_project_support_unit_management,project_management,,management,project,
ID_63,Assistance in preparing qualitative/financial reports,local_project_support_unit_management,project_management,,management,project,
ID_64,Responding to staff inquiries about Erasmus+ mobility,frontdesk_international,,,international,,
ID_65,Administrative and financial management of staff mobility,personnel_mobility,outgoing_mobility,execution_finance,mobility,mobility,finance
ID_66,Organization of incoming staff/researchers welcome,personnel_mobility,entrant_mobility,international_marketing,mobility,mobility,international
ID_67,Updating documentation related to Erasmus+ program,international_marketing,project_management,,international,project,
ID_68,Organization and participation in mobility promotion events,international_marketing,student_mobility,,international,mobility,
ID_69,Organization and participation in cultural outings,entrant_mobility,international_marketing,execution_finance,mobility,international,finance
ID_70,Organization and participation in integration days,entrant_mobility,international_marketing,execution_finance,mobility,international,finance
ID_71,Management of RI social networks,international_marketing,,,international,,
ID_72,Development of international information/promotional materials,international_marketing,international_development,,international,international,
ID_73,Development of tools/events for international student mobility promotion,international_marketing,student_mobility,,international,mobility,
ID_74,Promotion of PRI activities internally and externally,international_marketing,,,international,,
ID_75,Participation in communication of PRI portfolio projects,international_marketing,project_management,,international,project,
